"Var1","Freq","perc"
"4","165","86.3874345549738"
"1","9","4.71204188481675"
"5","7","3.66492146596859"
"6","4","2.09424083769634"
"2","3","1.57068062827225"
"3","3","1.57068062827225"
"total","191","100"
