"Var1","Freq","perc"
"8 SA","43","52.4390243902439"
"12 SA","27","32.9268292682927"
"4 SA","6","7.31707317073171"
"16 SA","4","4.8780487804878"
"10 SA","1","1.21951219512195"
"24 SA","1","1.21951219512195"
"total","184","100"
