"years","est","lw","hi"
2015,14.6627060110195,11.7120487776124,18.1306630508259
2016,7.30672439545352,5.28791267478232,9.84210980993742
2017,16.2413498068619,13.170640591358,19.8130694196168
2018,7.0966464219699,5.13587820371785,9.55913615830202
2019,19.3642662570338,16.0416890159425,23.1722316210637
2020,6.74069663494794,4.85810123121676,9.11146364252652
