"","var_tot","Leve","Moderado","Severo","var_tot_%","Leve_%","Moderado_%","Severo_%"
"1",9,1,6,2,4.71204188481675,3.03030303030303,7.31707317073171,2.89855072463768
"2",3,1,1,1,1.57068062827225,3.03030303030303,1.21951219512195,1.44927536231884
"3",3,0,0,3,1.57068062827225,0,0,4.34782608695652
"4",165,28,72,58,86.3874345549738,84.8484848484848,87.8048780487805,84.0579710144928
"5",7,3,2,2,3.66492146596859,9.09090909090909,2.4390243902439,2.89855072463768
"6",4,0,1,3,2.09424083769634,0,1.21951219512195,4.34782608695652
"tot",191,33,82,69,100,100,100,100
