"","var_tot","Leve","Moderado","Severo","var_tot_%","Leve_%","Moderado_%","Severo_%"
"2017",26,9,8,7,13.6125654450262,27.2727272727273,9.75609756097561,10.1449275362319
"2018",22,6,3,12,11.5183246073298,18.1818181818182,3.65853658536585,17.3913043478261
"2019",62,12,27,19,32.4607329842932,36.3636363636364,32.9268292682927,27.536231884058
"2020",81,6,44,31,42.4083769633508,18.1818181818182,53.6585365853659,44.9275362318841
"tot",191,33,82,69,100,100,100,100
