"","var_tot","Leve","Moderado","Severo","var_tot_%","Leve_%","Moderado_%","Severo_%"
"Rural",139,19,68,49,72.7748691099476,57.5757575757576,82.9268292682927,71.0144927536232
"Urbana",52,14,14,20,27.2251308900524,42.4242424242424,17.0731707317073,28.9855072463768
"tot",191,33,82,69,100,100,100,100
