"","var_tot","Leve","Moderado","Severo","var_tot_%","Leve_%","Moderado_%","Severo_%"
"1",32,7,13,11,16.7539267015707,21.2121212121212,15.8536585365854,15.9420289855072
"2",52,6,30,16,27.2251308900524,18.1818181818182,36.5853658536585,23.1884057971014
"3",30,4,15,10,15.7068062827225,12.1212121212121,18.2926829268293,14.4927536231884
"4",25,5,10,9,13.0890052356021,15.1515151515152,12.1951219512195,13.0434782608696
"5",20,4,5,8,10.4712041884817,12.1212121212121,6.09756097560976,11.5942028985507
"6",17,4,1,11,8.90052356020942,12.1212121212121,1.21951219512195,15.9420289855072
"7",9,1,6,2,4.71204188481675,3.03030303030303,7.31707317073171,2.89855072463768
"8",6,2,2,2,3.1413612565445,6.06060606060606,2.4390243902439,2.89855072463768
"tot",191,33,82,69,100,100,100,100
