"","var_tot","Leve","Moderado","Severo","var_tot_%","Leve_%","Moderado_%","Severo_%"
"1",137,23,54,53,71.7277486910995,69.6969696969697,65.8536585365854,76.8115942028985
"2",54,10,28,16,28.2722513089005,30.3030303030303,34.1463414634146,23.1884057971014
"tot",191,33,82,69,100,100,100,100
