"","var_tot","Leve","Moderado","Severo","var_tot_%","Leve_%","Moderado_%","Severo_%"
"_0801__ESMERALDAS_",39,17,10,9,20.4188481675393,51.5151515151515,12.1951219512195,13.0434782608696
"_0802__ELOY_ALFARO",8,2,0,6,4.18848167539267,6.06060606060606,0,8.69565217391304
"_0803__MUISNE",13,1,9,2,6.80628272251309,3.03030303030303,10.9756097560976,2.89855072463768
"_0804__QUININDe",94,8,52,31,49.2146596858639,24.2424242424242,63.4146341463415,44.9275362318841
"_0805__SAN_LORENZO",5,2,0,3,2.61780104712042,6.06060606060606,0,4.34782608695652
"_0806__ATACAMES",5,0,2,3,2.61780104712042,0,2.4390243902439,4.34782608695652
"_0807__RIOVERDE",27,3,9,15,14.1361256544503,9.09090909090909,10.9756097560976,21.7391304347826
"tot",191,33,82,69,100,100,100,100
