"","var_tot","Leve","Moderado","Severo","var_tot_%","Leve_%","Moderado_%","Severo_%"
"1",41,30,8,3,22.2826086956522,90.9090909090909,9.75609756097561,4.34782608695652
"2",70,3,66,1,38.0434782608696,9.09090909090909,80.4878048780488,1.44927536231884
"3",55,0,6,49,29.8913043478261,0,7.31707317073171,71.0144927536232
"4",9,0,2,7,4.89130434782609,0,2.4390243902439,10.1449275362319
"5",1,0,0,1,0.543478260869565,0,0,1.44927536231884
"6",7,0,0,7,3.80434782608696,0,0,10.1449275362319
"7",1,0,0,1,0.543478260869565,0,0,1.44927536231884
"tot",184,33,82,69,100,100,100,100
