"","var_tot","Leve","Moderado","Severo","var_tot_%","Leve_%","Moderado_%","Severo_%"
"0",9,7,2,0,4.94505494505495,21.2121212121212,2.5,0
"1",23,5,8,10,12.6373626373626,15.1515151515152,10,14.4927536231884
"2",36,4,19,13,19.7802197802198,12.1212121212121,23.75,18.8405797101449
"3",41,8,18,15,22.5274725274725,24.2424242424242,22.5,21.7391304347826
"4",35,3,17,15,19.2307692307692,9.09090909090909,21.25,21.7391304347826
"5",13,2,5,6,7.14285714285714,6.06060606060606,6.25,8.69565217391304
"6",10,1,7,2,5.49450549450549,3.03030303030303,8.75,2.89855072463768
"7",15,3,4,8,8.24175824175824,9.09090909090909,5,11.5942028985507
"tot",182,33,80,69,100,100,100,100
